Location,Crime_Type,Time,DateOccurred,Investigation Status,CrimeCode,Comments
LODHI COLONY,gangrape,22:31,2020-06-15,Open,C8160,-
MANDIR MARG,sexual harassement,15:47,2019-09-28,Under Investigation,C8906,-
TUGLAK ROAD,gangrape,01:34,2020-06-19,Unknown,Unknown,Missing information
PANDAV NAGAR,theft,12:32,2019-10-28,Open,C1009,-
GHAZIPUR,robbery,15:47,2019-08-31,Closed,Unknown,Missing information
BHALSWA DAIRY,robbery,16:39,2019-11-27,Closed,C6041,-
CHITRANJAN PARK,theft,17:50,2019-12-31,Unknown,C3004,Missing information
SAMAYPURBADLI,gangrape,04:20,2019-10-28,Open,C3734,-
ROHINI NORTH,gangrape,17:40,2019-09-25,Closed,C8865,-
PAHARGANJ,gangrape,06:53,2019-09-06,Open,C4011,-
GREATER KAILASH,rape,15:52,2019-11-14,Open,C9139,-
KARAWAL NAGAR,robbery,22:51,2020-01-24,Closed,C9965,-
TUGLAK ROAD,theft,12:35,2020-05-03,Unknown,C3681,Missing information
VIJAY VIHAR,theft,11:49,2019-09-13,Under Investigation,C4873,-
SAGARPUR,rape,04:09,2019-08-04,Closed,Unknown,Missing information
MAHENDRA PARK,gangrape,13:57,2019-06-23,Under Investigation,C5318,-
CIVIL LINES,rape,17:01,2019-08-11,Closed,C1796,-
SUBHASH PLACE,theft,21:37,2019-07-14,Closed,C4255,-
PUNJABI BAGH,murder,12:57,2020-01-30,Open,C9191,-
MUKHERJI NAGAR,sexual harassement,06:38,2020-05-17,Open,C2186,-
NAJAFGARH,theft,08:02,2019-06-24,Closed,C4796,-
SHAHBAD DAIRY,theft,02:33,2019-11-01,Open,C1573,-
CHHAWLA,assualt murders,16:13,2020-02-01,Open,C7595,-
HARI NAGAR,murder,07:27,2020-01-21,Under Investigation,C8100,-
UTTAM NAGAR,robbery,05:53,2020-06-11,Under Investigation,C3669,Missing information
DARYA GANJ,theft,17:48,2020-03-17,Open,C6136,-
FARASH BAZAR,assualt murders,21:24,2020-04-06,Unknown,C7676,Missing information
KALKAJI,rape,18:58,2019-10-12,Open,C2799,-
HARSH VIHAR,rape,09:06,2019-08-11,Under Investigation,C3722,-
ANAND PARBAT,murder,20:13,2020-06-11,Unknown,C7080,Missing information
KALYANPURI,gangrape,01:44,2020-03-02,Unknown,Unknown,Missing information
BHAJANPURI,gangrape,05:19,2020-03-11,Closed,C1616,-
VASANT VIHAR,murder,13:51,2019-09-23,Open,C2604,-
KOTALA MUBARAK PUR,assualt murders,07:21,2020-02-02,Under Investigation,C3169,-
PATEL NAGAR,sexual harassement,01:01,2019-11-20,Closed,C6269,Missing information
RAJOURI GARDEN,robbery,23:05,2019-10-07,Closed,C1192,-
PREETVIHAR,rape,10:23,2019-07-27,Under Investigation,C2352,-
ROHINI SOUTH,assualt murders,12:12,2019-07-16,Under Investigation,C9374,-
MUNDKA,theft,00:04,2020-05-25,Closed,C9015,-
PARLIAMENT STREET,theft,01:39,2019-12-04,Open,C2911,-
INDERPURI,robbery,03:50,2019-11-21,Open,C4952,-
CHHAWLA,sexual harassement,19:07,2020-02-23,Closed,C5695,-
MANGOLPURI,assualt murders,03:44,2020-02-19,Closed,Unknown,Missing information
LAHORI GATE,assualt murders,11:20,2019-11-15,Under Investigation,C6719,-
JAMIA NAGAR,theft,14:53,2019-06-25,Closed,C3061,-
SUBHASH PLACE,robbery,13:10,2020-02-20,Open,C1617,-
BABA HARI DAS NAGAR,theft,02:35,2019-10-12,Open,C7510,-
MOTI NAGAR,theft,16:53,2020-05-13,Unknown,C5074,Missing information
SAKET,assualt murders,05:14,2020-05-11,Under Investigation,C8474,-
SAKET,assualt murders,06:07,2020-03-24,Open,C4666,-
NEB SARAI,theft,22:49,2020-03-07,Closed,Unknown,Missing information
KHYALA,robbery,11:07,2020-03-12,Under Investigation,C4690,-
MANDAWALI,theft,18:37,2020-01-29,Closed,C6960,-
MAYA PURI,theft,05:52,2019-07-14,Closed,C2777,-
BHARAT NAGAR,theft,11:40,2020-05-19,Under Investigation,C3400,-
MODEL TOWN,robbery,22:44,2020-06-08,Closed,C9764,-
PRASHANT VIHAR,theft,02:10,2020-05-28,Under Investigation,C1066,Missing information
DELHI CANTT,rape,07:08,2019-09-03,Under Investigation,C1100,-
SUNLIGHT COLONY,robbery,12:38,2019-12-29,Closed,C3917,-
HAUZQAZI,rape,14:23,2020-02-15,Unknown,Unknown,Missing information
NEW ASHOK NAGAR,sexual harassement,11:17,2020-01-01,Under Investigation,C1684,-
MOTI NAGAR,robbery,11:51,2019-09-08,Under Investigation,C9995,-
KIRTI NAGAR,theft,21:04,2019-09-02,Under Investigation,C3588,-
VASANT KUNJ SOUTH,theft,02:15,2019-10-27,Open,C5487,-
MUNDKA,gangrape,17:27,2019-09-04,Closed,C7059,-
RAJINDER NAGAR,sexual harassement,12:59,2020-06-15,Open,C2288,-
SHAKARPUR,gangrape,09:42,2019-07-21,Closed,C3312,-
VASANT VIHAR,assualt murders,21:09,2019-11-19,Under Investigation,Unknown,Missing information
MODEL TOWN,assualt murders,04:33,2019-07-29,Closed,C1297,-
BEGUM PUR,sexual harassement,12:36,2019-10-31,Closed,C9301,-
SAKET,murder,16:55,2020-01-27,Open,Unknown,Missing information
AMAR COLONY,theft,04:25,2020-03-20,Unknown,Unknown,Missing information
RANJIT NAGAR,assualt murders,23:57,2020-03-08,Open,C3004,Missing information
G.T.B. ENCLAVE,theft,19:48,2020-06-15,Open,C4618,-
G.T.B. ENCLAVE,robbery,23:52,2020-01-08,Closed,C9115,-
ADRASH NAGAR,murder,00:46,2020-03-05,Under Investigation,C3302,-
BADAR PUR,robbery,09:34,2019-08-15,Open,C6217,-
ADRASH NAGAR,rape,03:10,2020-01-24,Closed,C9110,-
PARSHAD NAGAR,robbery,10:12,2019-11-05,Open,C8657,-
G.T.B. ENCLAVE,assualt murders,06:10,2020-03-30,Unknown,C1075,Missing information
PREETVIHAR,rape,06:09,2019-12-30,Under Investigation,C8789,-
NANGLOI,sexual harassement,08:24,2020-04-07,Open,C1311,-
VIKAS PURI,rape,09:19,2019-12-27,Under Investigation,C9649,-
RANJIT NAGAR,murder,14:07,2020-06-10,Unknown,C1419,Missing information
BAWANA,assualt murders,17:51,2019-09-27,Open,C9387,-
ROHINI NORTH,robbery,21:47,2019-06-30,Under Investigation,C9457,-
PRASHANT VIHAR,theft,16:35,2020-02-22,Open,C9646,-
SUBZIMANDI,rape,19:38,2019-09-30,Open,C3725,-
KOTALA MUBARAK PUR,gangrape,05:18,2020-01-26,Closed,C7705,-
VASANT KUNJ NORTH,theft,11:49,2019-10-30,Closed,C3539,-
SAFDARJUNG ENCLAVE,sexual harassement,17:44,2020-01-23,Closed,C4493,-
GANDHI NAGAR,robbery,07:03,2019-08-17,Unknown,C5146,Missing information
PREETVIHAR,robbery,02:02,2020-03-10,Open,C5828,-
BARA HINDU RAO,assualt murders,17:35,2019-09-14,Open,C9854,-
KAPASHERA,rape,05:36,2020-05-09,Unknown,Unknown,Missing information
JAMA MASJID,assualt murders,22:51,2019-12-07,Closed,C1569,Missing information
SHAHBAD DAIRY,sexual harassement,19:54,2020-02-05,Open,C8582,-
